year,state,avg_unemployment
2019,North Dakota,2.1417
2020,North Dakota,4.95
2021,North Dakota,3
2022,North Dakota,2
2023,North Dakota,1.8833
1993,Ohio,6.675
1994,Ohio,5.6667
1995,Ohio,4.8667
1996,Ohio,4.9917
1997,Ohio,4.625
1998,Ohio,4.35
1999,Ohio,4.325
2000,Ohio,4.1167
2001,Ohio,4.375
2002,Ohio,5.7917
2003,Ohio,6.2167
2004,Ohio,6.25
2005,Ohio,5.9333
2006,Ohio,5.4167
2007,Ohio,5.6083
2008,Ohio,6.6
2009,Ohio,10.1417
2010,Ohio,10.2667
2011,Ohio,8.8167
2012,Ohio,7.4083
2013,Ohio,7.4583
2014,Ohio,5.8
2015,Ohio,4.95
2016,Ohio,5.075
2017,Ohio,4.9667
2018,Ohio,4.5
2019,Ohio,4.175
2020,Ohio,8.2667
2021,Ohio,5.1583
2022,Ohio,3.9917
2023,Ohio,3.525
1993,Oklahoma,5.65
1994,Oklahoma,5.3
1995,Oklahoma,4.4583
1996,Oklahoma,4
1997,Oklahoma,3.9583
1998,Oklahoma,4.075
1999,Oklahoma,3.4667
2000,Oklahoma,2.9917
2001,Oklahoma,3.625
2002,Oklahoma,4.625
2003,Oklahoma,5.4083
2004,Oklahoma,4.7083
2005,Oklahoma,4.325
2006,Oklahoma,3.9167
2007,Oklahoma,3.9667
2008,Oklahoma,3.6167
2009,Oklahoma,6.5583
2010,Oklahoma,6.5
2011,Oklahoma,5.5917
2012,Oklahoma,5.1167
2013,Oklahoma,5.1167
2014,Oklahoma,4.3333
2015,Oklahoma,4.2917
2016,Oklahoma,4.6583
2017,Oklahoma,4.0333
2018,Oklahoma,3.2917
2019,Oklahoma,3.125
2020,Oklahoma,6.3083
2021,Oklahoma,4.0333
2022,Oklahoma,3.0417
2023,Oklahoma,3.2167
1993,Oregon,6.9833
1994,Oregon,5.3083
1995,Oregon,4.7667
1996,Oregon,5.5583
1997,Oregon,5.55
1998,Oregon,5.6417
1999,Oregon,5.4667
2000,Oregon,5.1917
2001,Oregon,6.375
2002,Oregon,7.475
2003,Oregon,8.0167
2004,Oregon,7.3417
2005,Oregon,6.1917
2006,Oregon,5.3917
2007,Oregon,5.1583
2008,Oregon,6.275
2009,Oregon,10.7917
2010,Oregon,10.6917
2011,Oregon,9.6083
2012,Oregon,8.8083
2013,Oregon,7.75
2014,Oregon,6.6417
2015,Oregon,5.4667
2016,Oregon,4.75
2017,Oregon,4.0583
2018,Oregon,4.0417
2019,Oregon,3.725
2020,Oregon,7.6
2021,Oregon,5.15
2022,Oregon,3.9167
2023,Oregon,3.7083
1993,Pennsylvania,6.9333
1994,Pennsylvania,6.3167
1995,Pennsylvania,5.875
1996,Pennsylvania,5.4917
1997,Pennsylvania,5.1417
1998,Pennsylvania,4.6917
1999,Pennsylvania,4.4917
2000,Pennsylvania,4.225
2001,Pennsylvania,4.8083
2002,Pennsylvania,5.5333
2003,Pennsylvania,5.7
2004,Pennsylvania,5.3583
2005,Pennsylvania,4.9833
2006,Pennsylvania,4.7083
2007,Pennsylvania,4.5583
2008,Pennsylvania,5.35
2009,Pennsylvania,7.975
2010,Pennsylvania,8.1667
2011,Pennsylvania,7.7417
2012,Pennsylvania,7.6583
2013,Pennsylvania,7.1
2014,Pennsylvania,5.9333
2015,Pennsylvania,5.3917
2016,Pennsylvania,5.3417
2017,Pennsylvania,4.975
2018,Pennsylvania,4.4167
2019,Pennsylvania,4.3
2020,Pennsylvania,8.875
2021,Pennsylvania,5.925
2022,Pennsylvania,4.05
2023,Pennsylvania,3.4083
1993,Rhode Island,7.5417
1994,Rhode Island,6.6333
1995,Rhode Island,6.3167
1996,Rhode Island,5.225
1997,Rhode Island,5.325
1998,Rhode Island,4.5417
1999,Rhode Island,4.2
2000,Rhode Island,4
2001,Rhode Island,4.4417
2002,Rhode Island,5.1083
2003,Rhode Island,5.575
2004,Rhode Island,5.25
2005,Rhode Island,5.1083
2006,Rhode Island,5.2167
2007,Rhode Island,5.1083
2008,Rhode Island,7.6
2009,Rhode Island,11.3917
2010,Rhode Island,11.625
2011,Rhode Island,11.0167
2012,Rhode Island,10.2167
2013,Rhode Island,9.475
2014,Rhode Island,7.7667
2015,Rhode Island,6.025
2016,Rhode Island,5.2417
2017,Rhode Island,4.5083
2018,Rhode Island,4.0333
2019,Rhode Island,3.5333
2020,Rhode Island,9.2417
2021,Rhode Island,5.5167
2022,Rhode Island,3.1667
2023,Rhode Island,2.9417
1993,South Carolina,7.2917
1994,South Carolina,6.1583
1995,South Carolina,5.1
1996,South Carolina,5.6667
1997,South Carolina,4.5
1998,South Carolina,3.6333
1999,South Carolina,4.1417
2000,South Carolina,3.7333
2001,South Carolina,5.2833
2002,South Carolina,6.4333
2003,South Carolina,7.1917
2004,South Carolina,7.4417
2005,South Carolina,7.2917
2006,South Carolina,6.875
2007,South Carolina,6.0667
2008,South Carolina,7.2917
2009,South Carolina,11.4083
2010,South Carolina,11.3
2011,South Carolina,10.45
2012,South Carolina,9.0333
2013,South Carolina,7.425
2014,South Carolina,6.275
2015,South Carolina,5.9
2016,South Carolina,4.9167
2017,South Carolina,4.2
2018,South Carolina,3.375
2019,South Carolina,2.7667
2020,South Carolina,5.9667
2021,South Carolina,3.9417
2022,South Carolina,3.2083
2023,South Carolina,2.95
1993,South Dakota,3.4583
1994,South Dakota,3.2833
1995,South Dakota,3.1833
1996,South Dakota,3.2917
1997,South Dakota,2.9417
1998,South Dakota,2.8417
1999,South Dakota,2.725
2000,South Dakota,2.5333
2001,South Dakota,3
2002,South Dakota,3.2333
2003,South Dakota,3.475
2004,South Dakota,3.6083
2005,South Dakota,3.55
2006,South Dakota,3
2007,South Dakota,2.825
2008,South Dakota,3.0833
2009,South Dakota,4.5833
2010,South Dakota,4.9083
2011,South Dakota,4.6
2012,South Dakota,4.0583
2013,South Dakota,3.7
2014,South Dakota,3.3333
2015,South Dakota,3.05
2016,South Dakota,3.0167
2017,South Dakota,3.05
2018,South Dakota,2.7917
2019,South Dakota,2.7667
2020,South Dakota,4.1833
2021,South Dakota,2.6167
2022,South Dakota,1.9917
2023,South Dakota,2
1993,Tennessee,5.85
1994,Tennessee,4.8083
1995,Tennessee,5.1583
1996,Tennessee,5.1667
1997,Tennessee,5.2667
1998,Tennessee,4.35
1999,Tennessee,3.9583
2000,Tennessee,3.8667
2001,Tennessee,4.5167
2002,Tennessee,5.125
2003,Tennessee,5.5083
2004,Tennessee,5.35
2005,Tennessee,5.525
2006,Tennessee,5.275
2007,Tennessee,4.6333
2008,Tennessee,6.5167
2009,Tennessee,10.1167
2010,Tennessee,9.825
2011,Tennessee,9.1083
2012,Tennessee,7.9583
2013,Tennessee,7.725
2014,Tennessee,6.6
2015,Tennessee,5.5667
2016,Tennessee,4.7583
2017,Tennessee,3.75
2018,Tennessee,3.5
2019,Tennessee,3.3333
2020,Tennessee,7.5083
2021,Tennessee,4.4667
2022,Tennessee,3.3833
2023,Tennessee,3.2917
1993,Texas,7.2167
1994,Texas,6.5667
1995,Texas,6.1167
1996,Texas,5.75
1997,Texas,5.3917
1998,Texas,4.9667
1999,Texas,4.725
2000,Texas,4.3833
2001,Texas,4.9583
2002,Texas,6.3583
2003,Texas,6.7333
2004,Texas,6.0167
2005,Texas,5.4583
2006,Texas,5
2007,Texas,4.3667
2008,Texas,4.8667
2009,Texas,7.5417
2010,Texas,8.1917
2011,Texas,8.0167
2012,Texas,6.7083
2013,Texas,6.3
2014,Texas,5.1917
2015,Texas,4.4833
2016,Texas,4.65
2017,Texas,4.3417
2018,Texas,3.9
2019,Texas,3.525
2020,Texas,7.725
2021,Texas,5.6417
2022,Texas,3.9417
2023,Texas,3.95
1993,Utah,4.05
1994,Utah,3.7417
1995,Utah,3.4333
1996,Utah,3.375
1997,Utah,3.1667
1998,Utah,3.5583
1999,Utah,3.5083
2000,Utah,3.325
2001,Utah,4.3667
2002,Utah,5.6667
2003,Utah,5.5667
2004,Utah,5.0083
2005,Utah,4.0417
2006,Utah,2.8667
2007,Utah,2.5583
2008,Utah,3.3417
2009,Utah,7.2583
2010,Utah,7.9333
2011,Utah,7.0583
2012,Utah,4.775
2013,Utah,4.2083
2014,Utah,3.6333
2015,Utah,3.5083
2016,Utah,3.35
2017,Utah,3.1667
2018,Utah,2.9167
2019,Utah,2.5417
2020,Utah,4.8417
2021,Utah,2.7583
2022,Utah,2.3583
2023,Utah,2.6417
1993,Virginia,5.2
1994,Virginia,4.8
1995,Virginia,4.45
1996,Virginia,4.3167
1997,Virginia,3.7
1998,Virginia,2.775
1999,Virginia,2.7
2000,Virginia,2.2833
2001,Virginia,3.2833
2002,Virginia,4.3583
2003,Virginia,4.3417
2004,Virginia,4.0833
2005,Virginia,3.825
2006,Virginia,3.3417
2007,Virginia,3.2833
2008,Virginia,4.275
2009,Virginia,6.8333
2010,Virginia,7.2917
2011,Virginia,6.5417
2012,Virginia,5.95
2013,Virginia,5.55
2014,Virginia,5.1167
2015,Virginia,4.3667
2016,Virginia,4
2017,Virginia,3.6667
2018,Virginia,3.0083
2019,Virginia,2.7583
2020,Virginia,6.4917
2021,Virginia,3.85
2022,Virginia,2.7583
2023,Virginia,2.85
1993,Vermont,5.2083
1994,Vermont,4.4
1995,Vermont,4.1667
1996,Vermont,4.2917
1997,Vermont,3.9417
1998,Vermont,3.4667
1999,Vermont,3.075
2000,Vermont,2.8083
2001,Vermont,3.2917
2002,Vermont,3.8333
2003,Vermont,4.3833
2004,Vermont,3.675
2005,Vermont,3.45
2006,Vermont,3.7167
2007,Vermont,3.9417
2008,Vermont,4.5667
2009,Vermont,6.1667
2010,Vermont,6.3167
2011,Vermont,5.5667
2012,Vermont,4.8167
2013,Vermont,4.4167
2014,Vermont,3.9917
2015,Vermont,3.5333
2016,Vermont,3.125
2017,Vermont,3.0083
2018,Vermont,2.4833
2019,Vermont,2.0667
2020,Vermont,5.6583
2021,Vermont,3.5833
2022,Vermont,2.325
2023,Vermont,2.0083
1993,Washington,7.275
1994,Washington,6.2917
1995,Washington,6.225
1996,Washington,5.9083
1997,Washington,4.9417
1998,Washington,4.8333
1999,Washington,4.825
2000,Washington,5.0917
2001,Washington,6.0083
2002,Washington,7.075
2003,Washington,7.2333
2004,Washington,6.3
2005,Washington,5.5917
2006,Washington,5
2007,Washington,4.6
2008,Washington,5.2917
2009,Washington,8.2667
2010,Washington,9.1333
2011,Washington,8.525
2012,Washington,7.6417
2013,Washington,6.6333
2014,Washington,5.925
2015,Washington,5.4333
2016,Washington,5.225
2017,Washington,4.6417
2018,Washington,4.425
2019,Washington,4.1917
2020,Washington,8.5333
2021,Washington,5.2417
2022,Washington,4.0667
2023,Washington,4.075
1993,Wisconsin,4.375
1994,Wisconsin,4.2
1995,Wisconsin,3.7167
1996,Wisconsin,3.6083
1997,Wisconsin,3.475
1998,Wisconsin,3.2833
1999,Wisconsin,3.075
2000,Wisconsin,3.3917
2001,Wisconsin,4.4333
2002,Wisconsin,5.325
2003,Wisconsin,5.6167
2004,Wisconsin,4.975
2005,Wisconsin,4.7417
2006,Wisconsin,4.675
2007,Wisconsin,4.825
2008,Wisconsin,4.9833
2009,Wisconsin,8.9583
2010,Wisconsin,8.5
2011,Wisconsin,7.5333
2012,Wisconsin,6.925
2013,Wisconsin,6.6417
2014,Wisconsin,5.35
2015,Wisconsin,4.425
2016,Wisconsin,3.9083
2017,Wisconsin,3.2583
2018,Wisconsin,2.975
2019,Wisconsin,3.2083
2020,Wisconsin,6.4583
2021,Wisconsin,3.8583
2022,Wisconsin,2.8917
2023,Wisconsin,3.05
1993,West Virginia,10.3083
1994,West Virginia,8.8167
1995,West Virginia,7.9667
1996,West Virginia,7.65
1997,West Virginia,6.9833
1998,West Virginia,6.6833
1999,West Virginia,6.45
2000,West Virginia,5.575
2001,West Virginia,5.3917
2002,West Virginia,6.4583
2003,West Virginia,6.5667
2004,West Virginia,5.7667
2005,West Virginia,5.425
2006,West Virginia,5.2
2007,West Virginia,4.825
2008,West Virginia,4.75
2009,West Virginia,8.3
2010,West Virginia,8.6333
2011,West Virginia,7.825
2012,West Virginia,7.2583
2013,West Virginia,6.7167
2014,West Virginia,6.5
2015,West Virginia,6.5833
2016,West Virginia,6.0917
2017,West Virginia,5.2083
2018,West Virginia,5.1667
2019,West Virginia,4.925
2020,West Virginia,8.2833
2021,West Virginia,5.15
2022,West Virginia,3.875
2023,West Virginia,3.9083
1993,Wyoming,5.325
1994,Wyoming,4.8833
1995,Wyoming,4.7833
1996,Wyoming,5
1997,Wyoming,4.7833
1998,Wyoming,4.7917
1999,Wyoming,4.7083
2000,Wyoming,3.75
2001,Wyoming,3.8167
2002,Wyoming,4.0083
2003,Wyoming,4.325
2004,Wyoming,3.8417
2005,Wyoming,3.5417
2006,Wyoming,3.0083
2007,Wyoming,2.6917
2008,Wyoming,2.9333
2009,Wyoming,6.2583
2010,Wyoming,6.9417
2011,Wyoming,6.1333
2012,Wyoming,5.5
2013,Wyoming,4.7333
2014,Wyoming,4.3417
2015,Wyoming,4.2083
2016,Wyoming,5.3333
2017,Wyoming,4.325
2018,Wyoming,4.0583
2019,Wyoming,3.7083
2020,Wyoming,5.8583
2021,Wyoming,4.5417
2022,Wyoming,3.4167
2023,Wyoming,2.9167
