STATE,AVERAGE CORPORATE TAX RT,YEAR,PROGRESSIVE,,
Maryland,7,2004,0,,
Massachusetts,9.5,2004,0,,
Michigan,0,2004,0,,
Minnesota,9.8,2004,0,,
Mississippi,4,2004,1,,
Missouri,6.25,2004,0,,
Montana,6.75,2004,0,,
Nebraska,6.695,2004,1,,
Nevada,0,2004,0,,
New Hampshire,8.5,2004,0,,
New Jersey,9,2004,0,,
New Mexico,6.2,2004,1,,
New York,7.5,2004,0,,
North Carolina,6.9,2004,0,,
North Dakota,6.75,2004,1,,
Ohio,6.8,2004,1,,
Oklahoma,6,2004,0,,
Oregon,6.6,2004,0,,
Pennsylvania,9.99,2004,0,,
Rhode Island,9,2004,0,,
South Carolina,5,2004,0,,
South Dakota,0,2004,0,,
Tennessee,6.5,2004,0,,
Texas,0,2004,0,,
Utah,5,2004,0,,
Vermont,8.375,2004,1,,
Virginia,6,2004,0,,
Washington,0,2004,0,,
West Virginia,9,2004,0,,
Wisconsin,7.9,2004,0,,
Wyoming,0,2004,0,,
Dist. of Columbia,9.975,2004,0,,
Alabama,6.5,2003,0,,
Alaska,5.2,2003,1,,
Arizona,6.968,2003,0,,
Arkansas,3.75,2003,1,,
California,8.84,2003,0,,
Colorado,4.63,2003,0,,
Connecticut,7.5,2003,0,,
Delaware,8.7,2003,0,,
Florida,5.5,2003,0,,
Georgia,6,2003,0,,
Hawaii,5.4,2003,1,,
Idaho,7.6,2003,0,,
Illinois,7.3,2003,0,,
Indiana,8.5,2003,0,,
Iowa,9,2003,1,,
Kansas,4,2003,0,,
Kentucky,6.125,2003,1,,
Louisiana,6,2003,1,,
Maine,6.215,2003,1,,
Maryland,7,2003,0,,
Massachusetts,9.5,2003,0,,
Michigan,0,2003,0,,
Minnesota,9.8,2003,0,,
Mississippi,4,2003,1,,
Missouri,6.25,2003,0,,
Montana,6.75,2003,0,,
Nebraska,6.695,2003,1,,
Nevada,0,2003,0,,
New Hampshire,8.5,2003,0,,
New Jersey,9,2003,0,,
New Mexico,6.2,2003,1,,
New York,7.5,2003,0,,
North Carolina,6.9,2003,0,,
North Dakota,6.75,2003,1,,
Ohio,6.8,2003,1,,
Oklahoma,6,2003,0,,
Oregon,6.6,2003,0,,
Pennsylvania,9.9,2003,0,,
Rhode Island,9,2003,0,,
South Carolina,5,2003,0,,
South Dakota,0,2003,0,,
Tennessee,6.5,2003,0,,
Texas,0,2003,0,,
Utah,5,2003,0,,
Vermont,8.375,2003,1,,
Virginia,6,2003,0,,
Washington,0,2003,0,,
West Virginia,9,2003,0,,
Wisconsin,7.9,2003,0,,
Wyoming,0,2003,0,,
Dist. of Columbia,9.975,2003,0,,
Alabama,6.5,2002,0,,
Alaska,5.2,2002,1,,
Arizona,6.968,2002,0,,
Arkansas,3.75,2002,0,,
California,8.84,2002,0,,
Colorado,4.63,2002,0,,
Connecticut,7.5,2002,0,,
Delaware,8.7,2002,0,,
Florida,5.5,2002,0,,
Georgia,6,2002,0,,
Hawaii,5.4,2002,1,,
Idaho,7.6,2002,0,,
Illinois,7.3,2002,0,,
Indiana,7.9,2002,0,,
Iowa,9,2002,1,,
Kansas,4,2002,0,,
Kentucky,6.125,2002,1,,
Louisiana,6,2002,1,,
Maine,6.215,2002,1,,
Maryland,7,2002,0,,
Massachusetts,9.5,2002,0,,
Michigan,2,2002,0,,
Minnesota,9.8,2002,0,,
Mississippi,4,2002,1,,
Missouri,6.25,2002,0,,
Montana,6.75,2002,0,,
Nebraska,6.695,2002,1,,
Nevada,0,2002,0,,
New Hampshire,8.5,2002,0,,
New Jersey,9,2002,0,,
New Mexico,6.2,2002,1,,
New York,8,2002,0,,
North Carolina,6.9,2002,0,,
North Dakota,6.75,2002,1,,
Ohio,6.8,2002,1,,
Oklahoma,6,2002,0,,
Oregon,6.6,2002,0,,
Pennsylvania,9.99,2002,0,,
Rhode Island,9,2002,0,,
South Carolina,5,2002,0,,
South Dakota,0,2002,0,,
Tennessee,6,2002,0,,
Texas,0,2002,0,,
Utah,5,2002,0,,
Vermont,8.375,2002,1,,
Virginia,6,2002,0,,
Washington,0,2002,0,,
West Virginia,9,2002,0,,
Wisconsin,7.9,2002,0,,
Wyoming,0,2002,0,,
Dist. of Columbia,9.975,2002,0,,
Alabama,5,2001,0,,
Alaska,5.2,2001,1,,
Arizona,8,2001,0,,
Arkansas,3.75,2001,1,,
California,8.84,2001,0,,
Colorado,4.75,2001,0,,
Connecticut,7.5,2001,0,,
Delaware,8.7,2001,0,,
Florida,5.5,2001,0,,
Georgia,6,2001,0,,
Hawaii,5.4,2001,1,,
Idaho,8,2001,0,,
Illinois,7.3,2001,0,,
Indiana,7.9,2001,0,,
Iowa,9,2001,1,,
Kansas,4,2001,0,,
Kentucky,6.125,2001,1,,
Louisiana,6,2001,1,,
Maine,6.215,2001,1,,
Maryland,7,2001,0,,
Massachusetts,9.5,2001,0,,
Michigan,2,2001,0,,
Minnesota,9.8,2001,0,,
Mississippi,4,2001,1,,
Missouri,6.25,2001,0,,
Montana,6.75,2001,0,,
Nebraska,6.695,2001,1,,
Nevada,0,2001,0,,
New Hampshire,8,2001,0,,
New Jersey,9,2001,0,,
New Mexico,6.2,2001,1,,
New York,8.5,2001,0,,
North Carolina,6.9,2001,0,,
North Dakota,6.75,2001,1,,
Ohio,6.8,2001,1,,
Oklahoma,6,2001,0,,
Oregon,6.6,2001,0,,
Pennsylvania,9.99,2001,0,,
Rhode Island,9,2001,0,,
South Carolina,5,2001,0,,
South Dakota,0,2001,0,,
Tennessee,6,2001,0,,
Texas,0,2001,0,,
Utah,5,2001,0,,
Vermont,8.375,2001,1,,
Virginia,6,2001,0,,
Washington,0,2001,0,,
West Virginia,9,2001,0,,
Wisconsin,7.9,2001,0,,
Wyoming,0,2001,0,,
Dist. of Columbia,9.975,2001,0, ,
Alabama,5,2000,0,,
Alaska,5.2,2000,1,,
Arizona,8,2000,0,,
Arkansas,3.75,2000,1,,
California,8.84,2000,0,,
Colorado,4.75,2000,0,,
Connecticut,7.5,2000,0,,
Delaware,8.7,2000,0,,
Florida,5.5,2000,0,,
Georgia,6,2000,0,,
Hawaii,5.4,2000,1,,
Idaho,8,2000,0,,
Illinois,7.3,2000,0,,
Indiana,7.9,2000,0,,
Iowa,9,2000,1,,
Kansas,4,2000,0,,
Kentucky,6.125,2000,1,,
Louisiana,6,2000,1,,
Maine,6.215,2000,1,,
Maryland,7,2000,0,,
Massachusetts,9.5,2000,0,,
Michigan,2,2000,0,,
Minnesota,9.8,2000,0,,
Mississippi,4,2000,1,,
Missouri,6.25,2000,0,,
Montana,6.75,2000,0,,
Nebraska,6.695,2000,1,,
Nevada,0,2000,0,,
New Hampshire,8,2000,0,,
New Jersey,9,2000,0,,
New Mexico,6.2,2000,1,,
New York,8.5,2000,0,,
North Carolina,6.9,2000,0,,
North Dakota,6.75,2000,1,,
Ohio,6.8,2000,1,,
Oklahoma,6,2000,0,,
Oregon,6.6,2000,0,,
Pennsylvania,9.99,2000,0,,
Rhode Island,9,2000,0,,
South Carolina,5,2000,0,,
South Dakota,0,2000,0,,
Tennessee,6,2000,0,,
Texas,0,2000,0,,
Utah,5,2000,0,,
Vermont,8.375,2000,1,,
Virginia,6,2000,0,,
Washington,0,2000,0,,
West Virginia,9,2000,0,,
Wisconsin,7.9,2000,0,,
Wyoming,0,2000,0,,
Dist. of Columbia,9.975,2000,0,,
Alabama,5,1999,0,,
Alaska,5.2,1999,1,,
Arizona,9,1999,0,,
Arkansas,3.75,1999,1,, 
California,8.84,1999,0,,
Colorado,5,1999,0,,
Connecticut,10.5,1999,0,,
Delaware,8.7,1999,0,,
Florida,5.5,1999,0,,
Georgia,6,1999,0,,
Hawaii,5.4,1999,1,,
Idaho,8,1999,0,,
Illinois,7.3,1999,0,,
Indiana,7.9,1999,0,,
Iowa,9,1999,1,,
Kansas,4,1999,0,,
Kentucky,6.125,1999,1,,
Louisiana,6,1999,1,,
Maine,6.215,1999,1,,
Maryland,7,1999,0,,
Massachusetts,9.5,1999,0,,
Michigan,2.3,1999,0,,
Minnesota,9.8,1999,0,,
Mississippi,4,1999,1,,
Missouri,6.25,1999,0,,
Montana,6.75,1999,0,,
Nebraska,6.695,1999,1,,
Nevada,0,1999,0,,
New Hampshire,7,1999,0,,
New Jersey,9,1999,0,,
New Mexico,6.2,1999,1,,
New York,9,1999,0,,
North Carolina,7.25,1999,0,,
North Dakota,6.75,1999,1,,
Ohio,7,1999,1,,
Oklahoma,6,1999,0,,
Oregon,6.6,1999,0,,
Pennsylvania,9.99,1999,0,,
Rhode Island,9,1999,0,,
South Carolina,5,1999,0,,
South Dakota,0,1999,0,,
Tennessee,6,1999,0,,
Texas,0,1999,0,,
Utah,5,1999,0,,
Vermont,8.375,1999,1,,
Virginia,6,1999,0,,
Washington,0,1999,0,,
West Virginia,9,1999,0,,
Wisconsin,7.9,1999,0,,
Wyoming,0,1999,0,,
Dist. of Columbia,9.975,1999,0,,
Alabama,5,1998,0,,
Alaska,5.2,1998,1,,
Arizona,9,1998,0,,
Arkansas,3.75,1998,1,,
California,8.84,1998,0,,
Colorado,5,1998,0,,
Connecticut,10.5,1998,0,,
Delaware,8.7,1998,0,,
Florida,5.5,1998,0,,
Georgia,6,1998,0,,
Hawaii,5.4,1998,1,,
Idaho,8,1998,0,,
Illinois,7.3,1998,0,,
Indiana,7.9,1998,0,,
Iowa,9,1998,1,,
Kansas,4,1998,0,,
Kentucky,6.125,1998,1,,
Louisiana,6,1998,1,,
Maine,6.215,1998,1,,
Maryland,7,1998,0,,
Massachusetts,9.5,1998,0,,
Michigan,2.3,1998,0,,
Minnesota,9.8,1998,0,,
Mississippi,4,1998,1,,
Missouri,6.25,1998,0,,
Montana,6.75,1998,0,,
Nebraska,6.695,1998,1,,
Nevada,0,1998,0,,
New Hampshire,7,1998,0,,
New Jersey,9,1998,0,,
New Mexico,6.2,1998,1,,
New York,9,1998,0,,
North Carolina,7.25,1998,0,,
North Dakota,6.75,1998,1,,
Ohio,7,1998,1,,
Oklahoma,6,1998,0,,
Oregon,6.6,1998,0,,
Pennsylvania,9.99,1998,0,,
Rhode Island,9,1998,0,,
South Carolina,5,1998,0,,
South Dakota,0,1998,0,,
Tennessee,6,1998,0,,
Texas,0,1998,0,,
Utah,5,1998,0,,
Vermont,8.375,1998,1,,
Virginia,6,1998,0,,
Washington,0,1998,0,,
West Virginia,9,1998,0,,
Wisconsin,7.9,1998,0,,
Wyoming,0,1998,0,,
Dist. of Columbia,9.975,1998,0,,
Alabama,5,1997,0,,
Alaska,5.2,1997,1,,
Arizona,9,1997,0,,
Arkansas,3.75,1997,1,,
California,9.3,1997,0,,
Colorado,5,1997,0,,
Connecticut,10.75,1997,0,,
Delaware,8.7,1997,0,,
Florida,5.5,1997,0,,
Georgia,6,1997,0,,
Hawaii,5.4,1997,1,,
Idaho,8,1997,0,,
Illinois,7.3,1997,0,,
Indiana,7.9,1997,0,,
Iowa,9,1997,1,,
Kansas,4,1997,0,,
Kentucky,6.125,1997,1,,
Louisiana,6,1997,1,,
Maine,6.215,1997,1,,
Maryland,7,1997,0,,
Massachusetts,9.5,1997,0,,
Michigan,2.3,1997,0,,
Minnesota,9.8,1997,0,,
Mississippi,4,1997,1,,
Missouri,6.25,1997,0,,
Montana,6.75,1997,0,,
Nebraska,6.695,1997,1,,
Nevada,0,1997,0,,
New Hampshire,7,1997,0,,
New Jersey,7.5,1997,0,,
New Mexico,6.2,1997,1,,
New York,9,1997,0,,
North Carolina,7.75,1997,0,,
North Dakota,6.75,1997,1,,
Ohio,7,1997,1,,
Oklahoma,6,1997,0,,
Oregon,6.6,1997,0,,
Pennsylvania,9.99,1997,0,,
Rhode Island,9,1997,0,,
South Carolina,5,1997,0,,
South Dakota,0,1997,0,,
Tennessee,6,1997,0,,
Texas,0,1997,0,,
Utah,5,1997,0,,
Vermont,6.875,1997,1,,
Virginia,6,1997,0,,
Washington,0,1997,0,,
West Virginia,9,1997,0,,
Wisconsin,7.9,1997,0,,
Wyoming,0,1997,0,,
Dist. of Columbia,9.5,1997,0,,
Alabama,5,1996,0,,
Alaska,5.2,1996,1,,
Arizona,9,1996,0,,
Arkansas,3.75,1996,1,,
California,9.3,1996,0,,
Colorado,5,1996,0,,
Connecticut,10.75,1996,0,,
Delaware,8.7,1996,0,,
Florida,5.5,1996,0,,
Georgia,6,1996,0,,
Hawaii,5.4,1996,1,,
Idaho,8,1996,0,,
Illinois,7.3,1996,0,,
Indiana,7.9,1996,0,,
Iowa,9,1996,1,,
Kansas,4,1996,0,,
Kentucky,6.125,1996,1,,
Louisiana,6,1996,1,,
Maine,6.215,1996,1,,
Maryland,7,1996,0,,
Massachusetts,9.5,1996,0,,
Michigan,2.3,1996,0,,
Minnesota,9.8,1996,0,,
Mississippi,4,1996,1,,
Missouri,6.25,1996,0,,
Montana,6.75,1996,0,,
Nebraska,6.695,1996,1,,
Nevada,0,1996,0,,
New Hampshire,7,1996,0,,
New Jersey,7.5,1996,0,,
New Mexico,6.2,1996,1,,
New York,9,1996,0,,
North Carolina,7.75,1996,0,,
North Dakota,6.75,1996,1,,
Ohio,7,1996,1,,
Oklahoma,6,1996,0,,
Oregon,6.6,1996,0,,
Pennsylvania,9.99,1996,0,,
Rhode Island,9,1996,0,,
South Carolina,5,1996,0,,
South Dakota,0,1996,0,,
Tennessee,6,1996,0,,
Texas,0,1996,0,,
Utah,5,1996,0,,
Vermont,6.875,1996,1,,
Virginia,6,1996,0,,
Washington,0,1996,0,,
West Virginia,9,1996,0,,
Wisconsin,7.9,1996,0,,
Wyoming,0,1996,0,,
Dist. of Columbia,9.5,1996,0,,
Alabama,5,1995,0,,
Alaska,5.2,1995,1,,
Arizona,9.3,1995,0,,
Arkansas,3.75,1995,1,,
California,9.3,1995,0,,
Colorado,5,1995,0,,
Connecticut,11.5,1995,0,,
Delaware,8.7,1995,0,,
Florida,5.5,1995,0,,
Georgia,6,1995,0,,
Hawaii,5.4,1995,1,,
Idaho,8,1995,0,,
Illinois,7.3,1995,0,,
Indiana,7.9,1995,0,,
Iowa,9,1995,1,,
Kansas,4,1995,0,,
Kentucky,6.125,1995,1,,
Louisiana,6,1995,1,,
Maine,6.215,1995,1,,
Maryland,7,1995,0,,
Massachusetts,9.5,1995,0,,
Michigan,2.3,1995,0,,
Minnesota,9.8,1995,0,,
Mississippi,4,1995,1,,
Missouri,6.52,1995,0,,
Montana,6.75,1995,0,,
Nebraska,6.695,1995,1,,
Nevada,0,1995,0,,
New Hampshire,7.5,1995,0,,
New Jersey,9,1995,0,,
New Mexico,6.2,1995,1,,
New York,9,1995,0,,
North Carolina,7.75,1995,0,,
North Dakota,6.75,1995,1,,
Ohio,7,1995,1,,
Oklahoma,6,1995,0,,
Oregon,6.6,1995,0,,
Pennsylvania,12.25,1995,0,,
Rhode Island,9,1995,0,,
South Carolina,5,1995,0,,
South Dakota,0,1995,0,,
Tennessee,6,1995,0,,
Texas,0,1995,0,,
Utah,5,1995,0,,
Vermont,6.875,1995,1,,
Virginia,6,1995,0,,
Washington,0,1995,0,,
West Virginia,9,1995,0,,
Wisconsin,7.9,1995,0,,
Wyoming,0,1995,0,,
Dist. of Columbia,10,1995,0,,
Alabama,5,1994,0,,
Alaska,5.2,1994,1,,
Arizona,9.3,1994,0,,
Arkansas,3.75,1994,1,,
California,9.3,1994,0,,
Colorado,5,1994,0,,
Connecticut,11.5,1994,0,,
Delaware,8.7,1994,0,,
Florida,5.5,1994,0,,
Georgia,6,1994,0,,
Hawaii,5.4,1994,1,,
Idaho,8,1994,0,,
Illinois,7.3,1994,0,,
Indiana,7.9,1994,0,,
Iowa,9,1994,1,,
Kansas,4,1994,0,,
Kentucky,6.125,1994,1,,
Louisiana,6,1994,1,,
Maine,6.215,1994,1,,
Maryland,7,1994,0,,
Massachusetts,9.5,1994,0,,
Michigan,2.3,1994,0,,
Minnesota,9.8,1994,0,,
Mississippi,4,1994,1,,
Missouri,6.52,1994,0,,
Montana,6.75,1994,0,,
Nebraska,6.695,1994,1,,
Nevada,0,1994,0,,
New Hampshire,7.5,1994,0,,
New Jersey,9,1994,0,,
New Mexico,6.2,1994,1,,
New York,9,1994,0,,
North Carolina,7.75,1994,0,,
North Dakota,6.75,1994,1,,
Ohio,7,1994,1,,
Oklahoma,6,1994,0,,
Oregon,6.6,1994,0,,
Pennsylvania,12.25,1994,0,,
Rhode Island,9,1994,0,,
South Carolina,5,1994,0,,
South Dakota,0,1994,0,,
Tennessee,6,1994,0,,
Texas,0,1994,0,,
Utah,5,1994,0,,
Vermont,6.875,1994,1,,
Virginia,6,1994,0,,
Washington,0,1994,0,,
West Virginia,9,1994,0,,
Wisconsin,7.9,1994,0,,
Wyoming,0,1994,0,,
Dist. of Columbia,10,1994,0,,
Alabama,6.5,2023,0,,
Alaska,4.7,2023,1,,
Arizona,4.9,2023,0,,
Arkansas,3.15,2023,1,,
California,8.84,2023,0,,
Colorado,4.4,2023,0,,
Connecticut,7.5,2023,0,,
Delaware,8.7,2023,0,,
Florida,5.5,2023,0,,
Georgia,5.75,2023,0,,
Hawaii,5.4,2023,1,,
Idaho,6.5,2023,0,,
Illinois,9.5,2023,0,,
Indiana,4.9,2023,0,,
Iowa,6.95,2023,1,,
Kansas,4,2023,0,,
Kentucky,5,2023,0,,
Louisiana,5.5,2023,1,,
Maine,6.215,2023,1,,
Maryland,8.25,2023,0,,
Massachusetts,8,2023,0,,
Michigan,6,2023,0,,
Minnesota,9.8,2023,0,,
Mississippi,2.5,2023,1,,
Missouri,4,2023,0,,
Montana,6.75,2023,0,,
Nebraska,6.415,2023,1,,
Nevada,0,2023,0,,
New Hampshire,7.6,2023,0,,
New Jersey,9,2023,0,,
New Mexico,5.35,2023,1,,
New York,6.5,2023,0,,
North Carolina,2.5,2023,0,,
North Dakota,2.86,2023,1,,
Ohio,0,2023,0,,
Oklahoma,4,2023,0,,
Oregon,7.1,2023,1,,
Pennsylvania,8.99,2023,0,,
Rhode Island,7,2023,0,,
South Carolina,5,2023,0,,
South Dakota,0,2023,0,,
Tennessee,6.5,2023,0,,
Texas,0,2023,0,,
Utah,4.85,2023,0,,
Vermont,7.25,2023,1,,
Virginia,6,2023,0,,
Washington,0,2023,0,,
West Virginia,6.5,2023,0,,
Wisconsin,7.9,2023,0,,
Wyoming,0,2023,0,,
Dist. of Columbia,8.25,2023,0,,
Alabama,6.5,2022,0,,
Alaska,4.7,2022,1,,
Arizona,4.9,2022,0,,
Arkansas,3.15,2022,1,,
California,8.84,2022,0,,
Colorado,4.55,2022,0,,
Connecticut,7.5,2022,0,,
Delaware,8.7,2022,0,,
Florida,5.5,2022,0,,
Georgia,5.75,2022,0,,
Hawaii,5.4,2022,1,,
Idaho,6.5,2022,0,,
Illinois,9.5,2022,0,,
Indiana,4.9,2022,0,,
Iowa,7.65,2022,1,,
Kansas,4,2022,0,,
Kentucky,5,2022,0,,
Louisiana,5.5,2022,1,,
Maine,6.215,2022,1,,
Maryland,8.25,2022,0,,
Massachusetts,8,2022,0,,
Michigan,6,2022,0,,
Minnesota,9.8,2022,0,,
Mississippi,2.5,2022,1,,
Missouri,4,2022,0,,
Montana,6.75,2022,0,,
Nebraska,6.54,2022,1,,
Nevada,0,2022,0,,
New Hampshire,7.6,2022,0,,
New Jersey,9,2022,0,,
New Mexico,5.35,2022,1,,
New York,6.5,2022,0,,
North Carolina,2.5,2022,0,,
North Dakota,2.86,2022,1,,
Ohio,0,2022,0,,
Oklahoma,4,2022,0,,
Oregon,7.1,2022,1,,
Pennsylvania,9.99,2022,0,,
Rhode Island,7,2022,0,,
South Carolina,5,2022,0,,
South Dakota,0,2022,0,,
Tennessee,6.5,2022,0,,
Texas,0,2022,0,,
Utah,4.95,2022,0,,
Vermont,7.25,2022,1,,
Virginia,6,2022,0,,
Washington,0,2022,0,,
West Virginia,6.5,2022,0,,
Wisconsin,7.9,2022,0,,
Wyoming,0,2022,0,,
Dist. of Columbia,8.25,2022,0,,
Alabama,5,1992,0,,
Alaska,5.2,1992,1,,
Arizona,9.3,1992,0,,
Arkansas,3.75,1992,1,,
California,9.3,1992,0,,
Colorado,5.15,1992,0,,
Connecticut,12.65,1992,0,,
Delaware,8.7,1992,0,,
Florida,5.5,1992,0,,
Georgia,6,1992,0,,
Hawaii,5.4,1992,1,,
Idaho,8,1992,0,,
Illinois,7.3,1992,0,,
Indiana,7.9,1992,0,,
Iowa,9,1992,1,,
Kansas,4.5,1992,0,,
Kentucky,6.125,1992,1,,
Louisiana,6,1992,1,,
Maine,6.8365,1992,1,,
Maryland,7,1992,0,,
Massachusetts,9.5,1992,0,,
Michigan,2.3,1992,0,,
Minnesota,9.8,1992,0,,
Mississippi,4,1992,1,,
Missouri,5.75,1992,0,,
Montana,6.75,1992,0,,
Nebraska,6.695,1992,1,,
Nevada,0,1992,0,,
New Hampshire,8,1992,0,,
New Jersey,9,1992,0,,
New Mexico,6.2,1992,1,,
New York,9,1992,0,,
North Carolina,7.8925,1992,0,,
North Dakota,6.75,1992,1,,
Ohio,7,1992,1,,
Oklahoma,6,1992,0,,
Oregon,6.6,1992,0,,
Pennsylvania,12.3,1992,0,,
Rhode Island,9.99,1992,0,,
South Carolina,5,1992,0,,
South Dakota,0,1992,0,,
Tennessee,6,1992,0,,
Texas,0,1992,0,,
Utah,5,1992,0,,
Vermont,6.875,1992,1,,
Virginia,6,1992,0,,
Washington,0,1992,0,,
West Virginia,9.3,1992,0,,
Wisconsin,7.9,1992,0,,
Wyoming,0,1992,0,,
Dist. of Columbia,10,1992,0,,
Alabama,5,1993,0,,
Alaska,5.2,1993,1,,
Arizona,9.3,1993,0,,
Arkansas,3.75,1993,1,,
California,9.3,1993,0,,
Colorado,5.15,1993,0,,
Connecticut,12.65,1993,0,,
Delaware,8.7,1993,0,,
Florida,5.5,1993,0,,
Georgia,6,1993,0,,
Hawaii,5.4,1993,1,,
Idaho,8,1993,0,,
Illinois,7.3,1993,0,,
Indiana,7.9,1993,0,,
Iowa,9,1993,1,,
Kansas,4.5,1993,0,,
Kentucky,6.125,1993,1,,
Louisiana,6,1993,1,,
Maine,6.8365,1993,1,,
Maryland,7,1993,0,,
Massachusetts,9.5,1993,0,,
Michigan,2.3,1993,0,,
Minnesota,9.8,1993,0,,
Mississippi,4,1993,1,,
Missouri,5.75,1993,0,,
Montana,6.75,1993,0,,
Nebraska,6.695,1993,1,,
Nevada,0,1993,0,,
New Hampshire,8,1993,0,,
New Jersey,9,1993,0,,
New Mexico,6.2,1993,1,,
New York,9,1993,0,,
North Carolina,7.8925,1993,0,,
North Dakota,6.75,1993,1,,
Ohio,7,1993,1,,
Oklahoma,6,1993,0,,
Oregon,6.6,1993,0,,
Pennsylvania,12.3,1993,0,,
Rhode Island,9.99,1993,0,,
South Carolina,5,1993,0,,
South Dakota,0,1993,0,,
Tennessee,6,1993,0,,
Texas,0,1993,0,,
Utah,5,1993,0,,
Vermont,6.875,1993,1,,
Virginia,6,1993,0,,
Washington,0,1993,0,,
West Virginia,9.3,1993,0,,
Wisconsin,7.9,1993,0,,
Wyoming,0,1993,0,,
Dist. of Columbia,10,1993,0,,
